"id";"id_servico";"id_tipo_servico";"id_status";"quantidade";"valor";"valor_fornecedor";"excluido";"data_atualizacao"
"56353";"24046";"6";"2";"1";"95,00";"35,00";\N;\N
"56354";"24046";"7";"2";"1";"59,00";"17,00";\N;\N
"56355";"24047";"6";"2";"1";"0,00";"0,00";\N;\N
"56356";"24047";"9";"2";"1";"0,00";"0,00";\N;\N
"56357";"24048";"6";"2";"1";"95,00";"29,00";\N;\N
"56358";"24049";"6";"2";"1";"95,00";"32,00";\N;\N
"56359";"24049";"7";"2";"1";"59,00";"17,00";\N;\N
"56360";"24050";"6";"2";"1";"95,00";"32,00";\N;\N
"56361";"24050";"7";"2";"1";"59,00";"17,00";\N;\N
"56363";"24052";"6";"2";"1";"0,00";"0,00";\N;\N
"56364";"24053";"6";"2";"1";"95,00";"29,00";\N;\N
"56366";"23903";"21";\N;"1";"0,00";"17,50";\N;\N
"56367";"24055";"6";"2";"1";"0,00";"0,00";\N;\N
"56368";"24056";"6";"2";"1";"190,00";"70,00";\N;\N
"56369";"24057";"6";"2";"1";"95,00";"29,00";\N;\N
"56373";"24059";"16";"2";"1";"0,00";"0,00";\N;\N
"56374";"24060";"6";"2";"1";"0,00";"0,00";\N;\N
"56375";"24061";"6";"2";"1";"95,00";"33,00";\N;\N
"56377";"24062";"6";"2";"1";"95,00";"33,00";\N;\N
"56378";"24062";"7";"2";"1";"59,00";"17,00";\N;\N
"56382";"24065";"6";"2";"1";"95,00";"32,00";\N;\N
"56383";"24066";"6";"2";"1";"95,00";"32,00";\N;\N
"56384";"24066";"7";"2";"1";"59,00";"17,00";\N;\N
"56385";"24067";"6";"2";"1";"95,00";"29,00";\N;\N
"56386";"24067";"7";"2";"1";"59,00";"17,00";\N;\N
"56387";"24068";"6";"2";"1";"0,00";"0,00";\N;\N
"56392";"23992";"6";\N;"1";"95,00";"33,00";\N;\N
"56393";"24070";"6";"2";"1";"0,00";"0,00";\N;\N
"56395";"24072";"6";"2";"1";"0,00";"0,00";\N;\N
"56399";"23857";"6";\N;"1";"95,00";"29,00";\N;\N
"56400";"23857";"9";\N;"1";"40,00";"40,00";\N;\N
"56401";"24075";"6";"2";"1";"95,00";"29,00";\N;\N
"56405";"24076";"6";"2";"1";"95,00";"35,00";\N;\N
"56410";"24079";"6";"2";"1";"95,00";"35,00";\N;\N
"56411";"24079";"7";"2";"1";"59,00";"17,00";\N;\N
"56413";"24045";"6";\N;"1";"95,00";"29,00";\N;\N
"56414";"24045";"10";\N;"1";"15,00";"15,00";\N;\N
"56415";"24058";"6";\N;"1";"95,00";"29,00";\N;\N
"56416";"24058";"10";\N;"1";"15,00";"15,00";\N;\N
"56417";"24069";"6";\N;"1";"95,00";"29,00";\N;\N
"56418";"24069";"7";\N;"1";"59,00";"17,00";\N;\N
"56419";"24069";"10";\N;"1";"0,00";"0,00";\N;\N
"56420";"23969";"6";\N;"1";"95,00";"35,00";\N;\N
"56424";"23983";"9";"2";"1";"40,00";"40,00";\N;"2024-08-07 17:47:16"
"56425";"23983";"15";"2";"1";"450,00";"85,00";\N;"2024-08-07 17:47:16"
"56426";"24024";"6";"2";"1";"95,00";"32,00";\N;"2024-08-07 23:32:50"
"56427";"24081";"6";"2";"1";"95,00";"35,00";\N;\N
"56429";"24014";"6";\N;"1";"95,00";"29,00";\N;\N
"56430";"24014";"7";\N;"1";"59,00";"17,00";\N;\N
"56431";"23962";"6";"2";"1";"95,00";"34,00";\N;"2024-08-08 16:52:56"
"56432";"23922";"6";\N;"1";"95,00";"29,00";\N;\N
"56434";"24082";"6";"2";"1";"95,00";"29,00";\N;\N
"56435";"24083";"8";"2";"1";"160,00";"38,00";\N;\N
"56436";"23952";"6";"2";"1";"0,00";"0,00";\N;\N
"56437";"24084";"6";"2";"1";"95,00";"35,00";\N;\N
"56438";"23792";"6";\N;"1";"95,00";"35,00";\N;\N
"56439";"24022";"8";\N;"2";"320,00";"66,00";\N;\N
"56440";"24001";"6";"2";"1";"0,00";"0,00";\N;\N
"56443";"24085";"6";"2";"1";"95,00";"35,00";\N;\N
"56444";"24085";"7";"2";"1";"59,00";"17,00";\N;\N
"56445";"24064";"6";\N;"3";"285,00";"102,00";\N;\N
"56446";"24064";"7";\N;"3";"177,00";"51,00";\N;\N
"56447";"24054";"6";"2";"1";"95,00";"34,00";\N;"2024-08-10 14:44:03"
"56448";"24063";"6";\N;"1";"95,00";"35,00";\N;\N
"56449";"23981";"6";\N;"1";"95,00";"29,00";\N;\N
"56450";"23981";"7";\N;"1";"59,00";"17,00";\N;\N
"56452";"24087";"6";"2";"1";"95,00";"20,25";\N;\N
"56453";"24087";"9";"2";"1";"40,00";"40,00";\N;\N
"56454";"24088";"6";"2";"1";"95,00";"32,00";\N;\N
"56455";"24089";"6";"2";"1";"95,00";"35,00";\N;\N
"56458";"24091";"8";"2";"1";"0,00";"0,00";\N;\N
"56460";"24093";"6";"2";"1";"0,00";"0,00";\N;\N
"56462";"24094";"15";"2";"1";"0,00";"0,00";\N;\N
"56463";"24095";"6";"2";"1";"0,00";"0,00";\N;\N
"56466";"24052";"21";\N;"1";"47,50";"17,50";\N;\N
"56469";"24098";"6";"2";"1";"95,00";"29,00";\N;\N
"56470";"24098";"7";"2";"1";"59,00";"17,00";\N;\N
"56471";"24098";"9";"2";"1";"40,00";"40,00";\N;\N
"56472";"24099";"6";"2";"1";"0,00";"0,00";\N;\N
"56473";"24100";"6";"2";"1";"0,00";"0,00";\N;\N
"56474";"24101";"12";"2";"1";"190,00";"35,00";\N;"2024-08-12 16:33:32"
"56475";"24102";"6";"2";"1";"95,00";"33,00";\N;\N
"56476";"24103";"6";"2";"1";"0,00";"0,00";\N;\N
"56477";"24104";"6";"2";"1";"95,00";"33,00";\N;\N
"56478";"24104";"7";"2";"1";"59,00";"17,00";\N;\N
"56480";"24106";"6";"2";"1";"0,00";"0,00";\N;\N
"56481";"24107";"6";"2";"1";"95,00";"29,00";\N;\N
"56482";"24108";"6";"2";"1";"95,00";"29,00";\N;\N
"56483";"24109";"6";"2";"1";"95,00";"32,00";\N;\N
"56484";"24110";"6";"2";"1";"0,00";"0,00";\N;\N
"56485";"24111";"6";"2";"1";"95,00";"32,00";\N;\N
"56488";"24113";"6";"2";"1";"95,00";"33,00";\N;\N
"56489";"24112";"6";\N;"1";"95,00";"29,00";\N;\N
"56490";"24112";"10";\N;"1";"15,00";"15,00";\N;\N
"56491";"24114";"6";"2";"1";"95,00";"32,00";\N;\N
"56492";"24114";"7";"2";"1";"59,00";"17,00";\N;\N
"56493";"24114";"9";"2";"1";"40,00";"40,00";\N;\N
"56494";"24031";"6";\N;"1";"95,00";"29,00";\N;\N
"56496";"24116";"13";"2";"1";"290,00";"35,00";\N;"2024-08-09 18:28:36"
"56497";"24117";"6";"2";"1";"95,00";"29,00";\N;\N
"56498";"24117";"7";"2";"1";"59,00";"17,00";\N;\N
"56503";"24121";"6";"2";"1";"95,00";"32,00";\N;\N
"56504";"24121";"7";"2";"1";"59,00";"17,00";\N;\N
"56507";"24122";"6";"2";"1";"95,00";"35,00";\N;\N
"56510";"24123";"6";"2";"1";"95,00";"29,00";\N;\N
"56511";"24123";"7";"2";"1";"59,00";"17,00";\N;\N
"56512";"24123";"9";"2";"1";"40,00";"40,00";\N;\N
"56519";"23961";"15";\N;"1";"450,00";"85,00";\N;\N
"56520";"24126";"6";"2";"1";"95,00";"35,00";\N;\N
"56521";"24127";"6";"2";"1";"95,00";"32,00";\N;\N
"56522";"24127";"7";"2";"1";"59,00";"17,00";\N;\N
"56523";"24071";"6";\N;"1";"95,00";"29,00";\N;\N
"56524";"24016";"6";\N;"2";"190,00";"66,00";\N;\N
"56527";"24129";"6";"2";"1";"95,00";"35,00";\N;\N
"56528";"24129";"7";"2";"1";"59,00";"17,00";\N;\N
"56529";"24130";"6";"2";"1";"95,00";"32,00";\N;\N
"56530";"24130";"7";"2";"1";"59,00";"17,00";\N;\N
"56531";"24130";"10";"2";"1";"15,00";"15,00";\N;\N
"56532";"24131";"6";"2";"1";"95,00";"29,00";\N;\N
"56533";"24131";"7";"2";"1";"59,00";"17,00";\N;\N
"56534";"24131";"10";"2";"1";"15,00";"15,00";\N;\N
"56537";"24051";"6";"2";"1";"0,00";"0,00";\N;\N
"56539";"24134";"6";"2";"1";"95,00";"29,00";\N;\N
"56540";"24135";"6";"2";"1";"95,00";"33,00";\N;\N
"56541";"24136";"6";"2";"1";"95,00";"33,00";\N;\N
"56542";"24136";"9";"2";"1";"40,00";"40,00";\N;\N
"56547";"24137";"6";"2";"2";"190,00";"64,00";\N;\N
"56550";"24105";"6";\N;"1";"95,00";"35,00";\N;\N
"56551";"24138";"6";"2";"1";"95,00";"35,00";\N;\N
"56552";"24139";"6";"2";"1";"95,00";"35,00";\N;\N
"56553";"24140";"6";"2";"1";"95,00";"29,00";\N;\N
"56554";"24086";"24";"2";"1";"400,00";"160,00";\N;"2024-08-08 22:06:49"
"56555";"24141";"8";"2";"1";"160,00";"33,00";\N;\N
"56557";"24143";"6";"2";"1";"95,00";"29,00";\N;\N
"56558";"24144";"6";"2";"1";"95,00";"29,00";\N;\N
"56563";"24147";"6";"2";"1";"95,00";"29,00";\N;\N
"56564";"24148";"6";"2";"1";"95,00";"32,00";\N;\N
"56565";"24148";"7";"2";"1";"59,00";"17,00";\N;\N
"56566";"24149";"6";"2";"1";"95,00";"34,00";\N;\N
"56567";"24150";"6";"2";"1";"95,00";"34,00";\N;\N
"56568";"24151";"6";"2";"1";"95,00";"34,00";\N;\N
"56569";"24152";"6";"2";"1";"0,00";"0,00";\N;\N
"56570";"24153";"6";"2";"1";"95,00";"40,00";\N;\N
"56574";"24156";"6";"2";"1";"95,00";"32,00";\N;\N
"56575";"24156";"10";"2";"1";"15,00";"15,00";\N;\N
"56576";"24157";"6";"2";"1";"95,00";"32,00";\N;\N
"56577";"24157";"7";"2";"1";"59,00";"17,00";\N;\N
"56578";"24095";"21";\N;"1";"47,50";"17,50";\N;\N
"56579";"24158";"6";"2";"1";"0,00";"0,00";\N;\N
