"id";"id_cliente";"id_tipo_servico";"valor";"valor_fornecedor"
"588";"634";"14";"390,00";\N
"589";"634";"15";"590,00";\N
"590";"634";"16";"390,00";\N
"591";"634";"17";"200,00";\N
"592";"634";"19";"160,00";\N
"593";"634";"20";"30,00";\N
"594";"634";"21";"80,00";\N
"595";"634";"22";"160,00";\N
"596";"641";"6";"160,00";\N
"597";"641";"7";"99,00";\N
"598";"641";"8";"190,00";\N
"599";"641";"9";"40,00";\N
"600";"641";"10";"15,00";\N
"601";"641";"11";"129,00";\N
"602";"641";"12";"250,00";\N
"603";"641";"13";"390,00";\N
"604";"641";"14";"390,00";\N
"605";"641";"15";"590,00";\N
"606";"641";"16";"390,00";\N
"607";"641";"17";"200,00";\N
"608";"641";"19";"160,00";\N
"609";"641";"20";"30,00";\N
"610";"641";"21";"80,00";\N
"611";"641";"22";"160,00";\N
"612";"646";"6";"160,00";\N
"613";"646";"7";"99,00";\N
"614";"646";"8";"190,00";\N
"615";"646";"9";"40,00";\N
"616";"646";"10";"15,00";\N
"617";"646";"11";"129,00";\N
"618";"646";"12";"250,00";\N
"619";"646";"13";"390,00";\N
"620";"646";"14";"390,00";\N
"621";"646";"15";"590,00";\N
"622";"646";"16";"390,00";\N
"623";"646";"17";"200,00";\N
"624";"646";"19";"160,00";\N
"625";"646";"20";"30,00";\N
"626";"646";"21";"80,00";\N
"627";"646";"22";"160,00";\N
"628";"649";"6";"160,00";\N
"629";"649";"7";"99,00";\N
"630";"649";"8";"190,00";\N
"631";"649";"9";"40,00";\N
"632";"649";"10";"15,00";\N
"633";"649";"11";"129,00";\N
"634";"649";"12";"250,00";\N
"635";"649";"13";"390,00";\N
"636";"649";"14";"390,00";\N
"637";"649";"15";"590,00";\N
"638";"649";"16";"390,00";\N
"639";"649";"17";"200,00";\N
"640";"649";"19";"160,00";\N
"641";"649";"20";"30,00";\N
"642";"649";"21";"80,00";\N
"643";"649";"22";"160,00";\N
"644";"650";"6";"160,00";\N
"645";"650";"7";"99,00";\N
"646";"650";"8";"190,00";\N
"647";"650";"9";"40,00";\N
"648";"650";"10";"15,00";\N
"649";"650";"11";"129,00";\N
"650";"650";"12";"250,00";\N
"651";"650";"13";"390,00";\N
"652";"650";"14";"390,00";\N
"653";"650";"15";"590,00";\N
"654";"650";"16";"390,00";\N
"655";"650";"17";"200,00";\N
"656";"650";"19";"160,00";\N
"657";"650";"20";"30,00";\N
"658";"650";"21";"80,00";\N
"659";"650";"22";"160,00";\N
"660";"651";"6";"160,00";\N
"661";"651";"7";"99,00";\N
"662";"651";"8";"190,00";\N
"663";"651";"9";"40,00";\N
"664";"651";"10";"15,00";\N
"665";"651";"11";"129,00";\N
"666";"651";"12";"250,00";\N
"667";"651";"13";"390,00";\N
"668";"651";"14";"390,00";\N
"669";"651";"15";"590,00";\N
"670";"651";"16";"390,00";\N
"671";"651";"17";"200,00";\N
"672";"651";"19";"160,00";\N
"673";"651";"20";"30,00";\N
"674";"651";"21";"80,00";\N
"675";"651";"22";"160,00";\N
"676";"667";"6";"160,00";\N
"677";"667";"7";"99,00";\N
"678";"667";"8";"190,00";\N
"679";"667";"9";"40,00";\N
"680";"667";"10";"15,00";\N
"681";"667";"11";"129,00";\N
"682";"667";"12";"250,00";\N
"683";"667";"13";"390,00";\N
"684";"667";"14";"390,00";\N
"685";"667";"15";"590,00";\N
"686";"667";"16";"390,00";\N
"687";"667";"17";"200,00";\N
"688";"667";"19";"160,00";\N
"689";"667";"20";"30,00";\N
"690";"667";"21";"80,00";\N
"691";"667";"22";"160,00";\N
"692";"676";"6";"160,00";\N
"693";"676";"7";"99,00";\N
"694";"676";"8";"190,00";\N
"695";"676";"9";"40,00";\N
"696";"676";"10";"15,00";\N
"697";"676";"11";"129,00";\N
"698";"676";"12";"250,00";\N
"699";"676";"13";"390,00";\N
"700";"676";"14";"390,00";\N
"701";"676";"15";"590,00";\N
"702";"676";"16";"390,00";\N
"703";"676";"17";"200,00";\N
"704";"676";"19";"160,00";\N
